Date,NH3,TSP,CO2,TVOC,PM10,PM2.5,W_force,W_speed,Tem,RH
2022-12-04 23:30:00,7.533333333,235,1346.333333,221.6666667,68.66666667,50.66666667,0,0,15.71664469,77.40478516
2022-12-05 00:00:00,6.8,311.6666667,1391.666667,222,67.33333333,48.66666667,0,0,15.82032064,77.54109701
2022-12-05 00:30:00,7.6,208.3333333,1363,234.3333333,68,54.66666667,0,0,15.52716797,76.19272868
2022-12-05 01:00:00,7.966666667,385,1354,186.6666667,60,51,0,0,15.29121582,75.99334717
2022-12-05 01:30:00,7.433333333,315,1288.666667,129,68,48.33333333,0,0,14.96231283,76.25630697
2022-12-05 02:00:00,7.266666667,421,1249.666667,174.3333333,64,49,0,0,14.69061035,77.09554036
2022-12-05 02:30:00,7.133333333,419.6666667,1201.666667,139.3333333,59.33333333,48.33333333,0,0,14.62625977,76.43534342
2022-12-05 03:00:00,6.933333333,290.3333333,1139.666667,114.6666667,60.33333333,47.66666667,0,0,14.56905924,76.77510579
2022-12-05 03:30:00,6.366666667,274,1078.333333,104.3333333,57,45.33333333,0,0,14.28663167,76.81630452
2022-12-05 04:00:00,6.8,321.3333333,1059,131.6666667,56.66666667,45.66666667,0,0,14.1472054,77.21913656
2022-12-05 04:30:00,6.7,411,1055.666667,94.66666667,57.33333333,45.66666667,0,0,14.06497965,77.34985352
2022-12-05 05:00:00,6.633333333,300.6666667,1051.333333,88,50,41.33333333,0,0,14.02922933,78.0939738
2022-12-05 05:30:00,6.7,356,1038.666667,95,50,35.66666667,0,0,13.94700358,78.12245687
2022-12-05 06:00:00,6.933333333,258,1033.666667,86.66666667,46.66666667,35.33333333,0,0,13.84332764,77.70029704
2022-12-05 06:30:00,6.866666667,317.3333333,1055.333333,95.33333333,45.33333333,36.66666667,0,0,13.81472738,78.74806722
2022-12-05 07:00:00,6.833333333,381.3333333,1091.333333,113,50.33333333,36.33333333,0,0,13.8397526,78.23079427
2022-12-05 07:30:00,7.366666667,318.6666667,1104.333333,91.33333333,49.33333333,37.66666667,0,0,14.0042041,77.77913411
2022-12-05 08:00:00,7.066666667,516.6666667,1158.333333,142.6666667,51,36.33333333,0,0,14.37600749,78.99169922
2022-12-05 08:30:00,7.133333333,552.3333333,1235.666667,192.3333333,41,34.33333333,0,0,14.86221191,79.27398682
2022-12-05 09:00:00,7.666666667,777,1364.333333,715.6666667,39.66666667,31,0,0,15.72021973,79.64375814
2022-12-05 09:30:00,6.433333333,392.3333333,1610.333333,897.3333333,45.66666667,34.66666667,0,0,16.72837891,80.36397298
2022-12-05 10:00:00,5.333333333,410.6666667,1599,600,52,41,0,0,16.9250057,78.98305257
2022-12-05 10:30:00,5.033333333,351.6666667,1478,324.6666667,56.33333333,42.33333333,0,0,16.77842936,76.93837484
2022-12-05 11:00:00,5.166666667,279.6666667,1352.666667,322.3333333,61,45,0,0,16.73552897,74.73449707
